stock_code,total_number_of_shares,market_value,stock_name,listed_market,wel_delete,enterprise_name,enterprise_id,update_time,gics_code,gics_code4
000506.SZ,916575558.0,2053129251.81,中润资源,1,0,中润资源投资股份有限公司,26777,2021-05-13 00:00:00,151040,15104030
000507.SZ,936627727.0,5619766365.8,珠海港,1,0,珠海港股份有限公司,26778,2021-05-13 00:00:00,203010,20301010
000509.SZ,1048922156.0,2790132935.2000003,*ST华塑,1,1,华塑控股股份有限公司,26779,2021-05-13 00:00:00,201020,20102010
000510.SZ,599103871.0,3259125058.8999996,新金路,1,0,四川新金路集团股份有限公司,26780,2021-05-13 00:00:00,151010,15101010
000513.SZ,1000323662.0,47215276883.56,丽珠集团,1,0,丽珠医药集团股份有限公司,26781,2021-05-13 00:00:00,352020,35202010
000514.SZ,843770965.0,2936322958.2,渝开发,1,0,重庆渝开发股份有限公司,26782,2021-05-13 00:00:00,601020,60102030
000516.SZ,2236201140.0,39714932257.5,国际医学,1,0,西安国际医学投资股份有限公司,26783,2021-05-13 00:00:00,351020,35102015
000517.SZ,3183922485.0,9042339857.4,荣安地产,1,0,荣安地产股份有限公司,26784,2021-05-13 00:00:00,601020,60102030
000518.SZ,1047618611.0,4179998261.32,四环生物,1,0,江苏四环生物股份有限公司,26785,2021-05-13 00:00:00,352020,35202010
000519.SZ,1391347007.0,15986577113.359999,中兵红箭,1,0,中兵红箭股份有限公司,26786,2021-05-13 00:00:00,201010,20101010
000520.SZ,1012083455.0,3299392063.3,长航凤凰,1,0,长航凤凰股份有限公司,26787,2021-05-13 00:00:00,203030,20303010
000521.SZ,1031136568.0,4000809884.2299995,长虹美菱,1,0,长虹美菱股份有限公司,26788,2021-05-13 00:00:00,252010,25201040
000523.SZ,632097002.0,1738266756.25,*ST浪奇,1,1,广州市浪奇实业股份有限公司,26789,2021-05-13 00:00:00,351010,35101010
000524.SZ,674761644.0,4966245703.77,岭南控股,1,0,广州岭南集团控股股份有限公司,26790,2021-05-13 00:00:00,253010,25301020
000525.SZ,577786894.0,2247591018.51,ST红太阳,1,1,南京红太阳股份有限公司,26791,2021-05-13 00:00:00,151010,15101030
000526.SZ,119071991.0,3855551092.66,学大教育,1,0,学大(厦门)教育科技集团股份有限公司,0,2021-05-13 00:00:00,253020,25302010
000528.SZ,1473579568.0,13085386570.119999,柳工,1,0,广西柳工机械股份有限公司,26793,2021-05-13 00:00:00,201060,20106010
000529.SZ,582795797.0,3421011333.8,广弘控股,1,0,广东广弘控股股份有限公司,26794,2021-05-13 00:00:00,302020,30202030
000530.SZ,838866050.0,3254800277.02,冰山冷热,1,0,冰山冷热科技股份有限公司,26795,2021-05-13 00:00:00,201060,20106020
000531.SZ,684253421.0,5651933265.0,穗恒运A,1,0,广州恒运企业集团股份有限公司,26796,2021-05-13 00:00:00,551010,55101010
000532.SZ,348782165.0,3836603824.2,华金资本,1,0,珠海华金资本股份有限公司,26797,2021-05-13 00:00:00,452030,45203020
000533.SZ,695216101.0,2182978560.0,顺钠股份,1,0,广东顺钠电气股份有限公司,26798,2021-05-13 00:00:00,201040,20104010
000534.SZ,489491875.0,6642404748.32,万泽股份,1,0,万泽实业股份有限公司,26799,2021-05-13 00:00:00,601020,60102030
000536.SZ,2793878770.0,8325758737.03,华映科技,1,0,华映科技(集团)股份有限公司,26800,2021-05-13 00:00:00,452030,45203015
000537.SZ,1872773127.0,10206613545.6,广宇发展,1,0,天津广宇发展股份有限公司,26801,2021-05-13 00:00:00,601020,60102030
000538.SZ,1309490162.0,135021530606.90001,云南白药,1,0,云南白药集团股份有限公司,26802,2021-05-13 00:00:00,352020,35202010
000539.SZ,5374960914.0,20371101865.68,粤电力A,1,0,广东电力发展股份有限公司,26803,2021-05-13 00:00:00,551010,55101010
000540.SZ,7005254679.0,19824870741.57,中天金融,1,0,中天金融集团股份有限公司,26804,2021-05-13 00:00:00,601020,60102030
000541.SZ,1399346154.0,8256142308.6,佛山照明,1,0,佛山电器照明股份有限公司,26805,2021-05-13 00:00:00,252010,25201040
000543.SZ,2255327130.0,8863435624.21,皖能电力,1,0,安徽省皖能股份有限公司,26806,2021-05-13 00:00:00,551010,55101010
000544.SZ,973196420.0,6374436551.52,中原环保,1,0,中原环保股份有限公司,26807,2021-05-13 00:00:00,202010,20201050
000545.SZ,1023576881.0,3848649074.3999996,金浦钛业,1,0,金浦钛业股份有限公司,26808,2021-05-13 00:00:00,151010,15101010
000546.SZ,722997382.0,5567079844.84,金圆股份,1,0,金圆环保股份有限公司,26809,2021-05-13 00:00:00,151020,15102010
000547.SZ,1616774067.0,27436655930.14,航天发展,1,0,航天工业发展股份有限公司,26810,2021-05-13 00:00:00,452010,45201020
000548.SZ,499215810.0,2016831876.4399998,湖南投资,1,0,湖南投资集团股份有限公司,26811,2021-05-13 00:00:00,203050,20305020
